"pokemon1","pokemon2","compatibility","viability_ceiling_pokemon2"
"Iron Moth","Ursaluna-Bloodmoon",0.01857171580195427,82
"Iron Moth","Tornadus-Incarnate",0.10809005051851273,83
"Iron Moth","Terapagos",0.026655087247490883,83
"Iron Moth","Chi-Yu",0.025920234620571136,86
"Iron Moth","Blastoise",0.013895384036004543,74
"Iron Moth","Eternatus",0.0147638451308012,80
"Iron Moth","Tsareena",0.010287928394973278,83
"Iron Moth","Mamoswine",0.0156991109251976,77
"Iron Moth","Iron Bundle",0.07114703953266144,82
"Iron Moth","Golurk",0.014363016933202744,72
"Iron Moth","Thundurus-Incarnate",0.017703253775835037,81
"Iron Moth","Groudon",0.028592424467206,81
"Iron Moth","Moltres-Galar",0.05498029291629791,77
"Iron Moth","Maushold-Family-of-Four",0.010154318995773792,80
"Iron Moth","Giratina-Altered",0.0156991109251976,71
"Iron Moth","Iron Treads",0.03433763235807419,82
"Iron Moth","Murkrow",0.01703520677983761,75
"Iron Moth","Iron Boulder",0.022179169580340385,80
"Iron Moth","Tinkaton",0.017235619947314262,80
"Iron Moth","Garganacl",0.021577928215265274,77
"Iron Moth","Clefairy",0.03533970192074776,84
"Iron Moth","Charjabug",0.010221123695373535,72
"Iron Moth","Flutter Mane",0.07602377980947495,83
"Iron Moth","Raichu-Alola",0.014229407534003258,79
"Iron Moth","Palkia-Origin",0.01609993912279606,75
"Iron Moth","Wo-Chien",0.018504910171031952,83
"Iron Moth","Sinistcha",0.016500769183039665,83
"Iron Moth","Amoonguss",0.07308437675237656,85
"Iron Moth","Grimmsnarl",0.04662970080971718,84
"Iron Moth","Landorus-Therian",0.029728105291724205,83
"Iron Moth","Ting-Lu",0.01790366694331169,85
"Iron Moth","Jumpluff",0.018371300771832466,78
"Iron Moth","Sneasler",0.02231277897953987,82
"Iron Moth","Dragapult",0.015097868628799915,73
"Iron Moth","Ogerpon-Hearthflame-Mask",0.017168816179037094,85
"Iron Moth","Ditto",0.015966329723596573,86
"Iron Moth","Iron Valiant",0.05698443576693535,83
"Iron Moth","Zacian-Crowned",0.06520141661167145,83
"Iron Moth","Iron Crown",0.014363016933202744,81
"Iron Moth","Venusaur",0.01449662633240223,80
"Iron Moth","Garchomp",0.013294140808284283,77
"Iron Moth","Rillaboom",0.12525886297225952,85
"Iron Moth","Kyogre",0.030596565455198288,83
"Iron Moth","Ogerpon-Cornerstone-Mask",0.0654018297791481,84
"Iron Moth","Roaring Moon",0.026521477848291397,83
